plane_id,groupID,Icon,plane_name,quality,level,speedup,speed,max_speed,dashspeed,life,liferesume,lifeconsume,attack,attackspeed,attackdistance,position_number,max_position,position_demon,skill1id,skill2id,skill3id,skill4id,levelup_money,levelup_diamond,can_upgrade,upgrade_plane_id,upgrade_money,upgrade_diamond,type_name,key_name,class_name,weapon_caption,weapon_type,weapon_name,propAxis,side_speed,select_sound,engine_sound,is_auto_attack,desc
·É»úID,·É»ú×éid,Í¼±ê,Ãû³Æ,Æ·ÖÊ,µÈ¼¶£¨µã»÷´ÎÊý£©,¼ÓËÙ,·ÉÐÐËÙ¶È,×î¸ßËÙ¶È,³å´ÌËÙ¶È,ÓÍÁ¿,ÓÍÁ¿»Ö¸´,ÓÍÁ¿ÏûºÄ,¹¥»÷,¹¥»÷ËÙ¶È,¹¥»÷¾àÀë,³õÊ¼²ÛÊý,×î´ó²ÛÊý,ÌØÊâ²ÛÏûºÄ×êÊ¯,¼¼ÄÜ1id,¼¼ÄÜ2id,¼¼ÄÜ3id,¼¼ÄÜ4id,Éý¼¶ÏûºÄ½ð±Ò,Éý¼¶ÏûºÄ×êÊ¯,ÊÇ·ñ¿ÉÒÔÉý½×,½ø½×ºó·É»úID,Éý½×ÏûºÄ½ð±Ò,Éý½×ÏûºÄ×êÊ¯,·É»úÀàÐÍ,Ä£ÐÍÃû×Ö,·É»ú¶ÔÓ¦µÄÀàÃû,ÎäÆ÷µÄ±êÌâ,×Óµ¯ÀàÐÍ,×Óµ¯ÌØÐ§Ãû³Æ,·É»úÂÝÐý½°Ðý×ªµÄÖáÏò,×óÓÒ·ÉÐÐËÙ¶È,Ñ¡Ôñ·É»úÉùÒô,ÒýÇæÉùÒô,ÊÇ·ñ×Ô¶¯¹¥»÷,·É»úÃèÊö
10101001,10101001,GeeBee,²¨Â³¿Ë,1,1,50,0,609.22,659.22,51,0,0,51,0,250,3,5,100,-1,-1,-1,-1,20,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_1,Sound_Engine_Prop1,0,ÄãÃÃ
10101002,10101001,GeeBee,²¨Â³¿Ë,1,2,50,0,611.43,661.43,51,0,0,51,0,250,3,5,100,-1,-1,-1,-1,20,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_2,Sound_Engine_Prop2,0,ÄãÃÃ
10101003,10101001,GeeBee,²¨Â³¿Ë,1,3,50,0,611.43,661.43,53,0,0,51,0,250,3,5,100,-1,-1,-1,-1,20,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_3,Sound_Engine_Prop3,0,ÄãÃÃ
10101004,10101001,GeeBee,²¨Â³¿Ë,1,4,50,0,611.43,661.43,53,0,0,53,0,250,3,5,100,-1,-1,-1,-1,50,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_4,Sound_Engine_Prop4,0,ÄãÃÃ
10101005,10101001,GeeBee,²¨Â³¿Ë,1,5,50,0,613.65,663.65,53,0,0,53,0,250,3,5,100,-1,-1,-1,-1,50,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_5,Sound_Engine_Prop5,0,ÄãÃÃ
10101006,10101001,GeeBee,²¨Â³¿Ë,1,6,50,0,613.65,663.65,54,0,0,53,0,250,3,5,100,-1,-1,-1,-1,50,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_6,Sound_Engine_Prop6,0,ÄãÃÃ
10101007,10101001,GeeBee,²¨Â³¿Ë,1,7,50,0,613.65,663.65,54,0,0,54,0,250,3,5,100,-1,-1,-1,-1,70,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_7,Sound_Engine_Prop7,0,ÄãÃÃ
10101008,10101001,GeeBee,²¨Â³¿Ë,1,8,50,0,615.87,665.87,54,0,0,54,0,250,3,5,100,-1,-1,-1,-1,70,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_8,Sound_Engine_Prop8,0,ÄãÃÃ
10101009,10101001,GeeBee,²¨Â³¿Ë,1,9,50,0,615.87,665.87,55,0,0,54,0,250,3,5,100,-1,-1,-1,-1,70,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_9,Sound_Engine_Prop9,0,ÄãÃÃ
10101010,10101001,GeeBee,²¨Â³¿Ë,1,10,50,0,615.87,665.87,55,0,0,55,0,250,3,5,100,-1,-1,-1,-1,100,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_10,Sound_Engine_Prop10,0,ÄãÃÃ
10101011,10101001,GeeBee,²¨Â³¿Ë,1,11,50,0,618.08,668.08,55,0,0,55,0,250,3,5,100,-1,-1,-1,-1,100,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_11,Sound_Engine_Prop11,0,ÄãÃÃ
10101012,10101001,GeeBee,²¨Â³¿Ë,1,12,50,0,618.08,668.08,57,0,0,55,0,250,3,5,100,-1,-1,-1,-1,100,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_12,Sound_Engine_Prop12,0,ÄãÃÃ
10101013,10101001,GeeBee,²¨Â³¿Ë,1,13,50,0,618.08,668.08,57,0,0,57,0,250,3,5,100,-1,-1,-1,-1,120,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_13,Sound_Engine_Prop13,0,ÄãÃÃ
10101014,10101001,GeeBee,²¨Â³¿Ë,1,14,50,0,620.3,670.3,57,0,0,57,0,250,3,5,100,-1,-1,-1,-1,120,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_14,Sound_Engine_Prop14,0,ÄãÃÃ
10101015,10101001,GeeBee,²¨Â³¿Ë,1,15,50,0,620.3,670.3,58,0,0,57,0,250,3,5,100,-1,-1,-1,-1,120,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_15,Sound_Engine_Prop15,0,ÄãÃÃ
10101016,10101001,GeeBee,²¨Â³¿Ë,1,16,50,0,620.3,670.3,58,0,0,58,0,250,3,5,100,-1,-1,-1,-1,150,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_16,Sound_Engine_Prop16,0,ÄãÃÃ
10101017,10101001,GeeBee,²¨Â³¿Ë,1,17,50,0,622.52,672.52,58,0,0,58,0,250,3,5,100,-1,-1,-1,-1,150,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_17,Sound_Engine_Prop17,0,ÄãÃÃ
10101018,10101001,GeeBee,²¨Â³¿Ë,1,18,50,0,622.52,672.52,59,0,0,58,0,250,3,5,100,-1,-1,-1,-1,150,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_18,Sound_Engine_Prop18,0,ÄãÃÃ
10101019,10101001,GeeBee,²¨Â³¿Ë,1,19,50,0,622.52,672.52,59,0,0,59,0,250,3,5,100,-1,-1,-1,-1,170,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_19,Sound_Engine_Prop19,0,ÄãÃÃ
10101020,10101001,GeeBee,²¨Â³¿Ë,1,20,50,0,624.73,674.73,59,0,0,59,0,250,3,5,100,-1,-1,-1,-1,170,-1,0,-1,-1,-1,propeller,GeeBee4,GeeBee,Lightning Shot,PIERCER_LIGHTNING,Template_Piercer_Lightning,z,0.3,Sound_Select_20,Sound_Engine_Prop20,0,ÄãÃÃ
